epoch,loss
824,-10546.840288765823
825,-10364.364727551425
826,-10524.504833366298
827,-10639.774018492879
828,-10666.807320510285
829,-10666.783153678798
830,-10615.242867385285
831,-10549.914927808544
832,-10347.371242088608
833,-10571.841945213608
834,-10656.415533524525
835,-10681.720468255538
836,-10691.019073872627
837,-10652.729541633702
838,-10448.084466475475
839,-10236.82813736155
840,-10332.910724881329
841,-10281.619387856013
842,-10443.081165941456
843,-10567.301485858387
844,-10517.712186016613
845,-10579.881489814083
846,-10691.551448773735
847,-10655.359288469146
848,-10558.925360957279
849,-10642.535106803798
850,-10740.210838607594
851,-10723.168067642406
852,-10744.63610067247
853,-10651.06640625
854,-10661.535625988925
855,-10620.705177017406
856,-10726.60096914557
857,-10573.347161787975
858,-10566.508912678006
859,-10505.067456981804
860,-10592.785007911392
861,-10698.660366396361
862,-10491.53828372231
863,-10561.800867780854
864,-10690.450084058544
865,-10730.416015625
866,-10646.545638844937
867,-10513.453409315665
868,-10388.987551918513
869,-10492.42851315269
870,-10655.771694521361
871,-10587.267639932754
872,-10593.274871439873
873,-10652.91465585443
874,-10428.014166337025
875,-10466.964114418513
876,-10603.531188192246
877,-10633.743732693829
878,-10755.901515526108
879,-10789.988862242879
880,-10807.577544007121
881,-10809.452902492088
882,-10758.725190367879
883,-10738.474881329113
884,-10698.171541238133
885,-10761.988330696202
886,-10738.033524525317
887,-10669.867694323575
888,-10615.098323773735
889,-10581.856976859177
890,-10455.173519086235
891,-10332.218304984177
892,-10494.91051473497
893,-10703.513325751583
894,-10781.67443384098
895,-10843.268208564083
896,-10767.600796083861
897,-10745.174297863925
898,-10711.367830300633
899,-10548.771175336235
900,-10668.739764636075
901,-10791.36053698576
902,-10757.78574960443
903,-10780.364912974683
904,-10787.471358287183
905,-10797.31995401503
906,-10823.23613034019
907,-10725.056541732594
908,-10476.737650810917
909,-10522.200739220727
910,-10522.697525217563
911,-10535.368300039558
912,-10288.327778876583
913,-10404.814218255538
914,-10528.434904074367
915,-10744.452877768987
916,-10811.794254351265
917,-10831.294773536392
918,-10846.001532832279
919,-10868.477699762658
920,-10785.605369857594
921,-10822.041893295094
922,-10824.360870747627
923,-10685.400452432754
924,-10492.607817444621
925,-10460.283079509494
926,-10627.020285304588
927,-10782.488404865506
928,-10678.135902887658
929,-10734.912368967563
930,-10827.26347409019
931,-10815.235623516613
932,-10746.750741693038
933,-10542.298407832279
934,-10485.500296677215
935,-10631.360227946994
936,-10788.216512559335
937,-10672.838558148735
938,-10671.64454361155
939,-10512.967142998417
940,-10412.653666435917
941,-10597.671973892406
942,-10517.356704905063
943,-10581.988021657437
944,-10812.61543215981
945,-10903.225437598892
946,-10836.056937302215
947,-10764.372787282437
948,-10799.029160897942
949,-10897.36875741693
950,-10898.143604133702
951,-10940.042461926425
952,-10944.191641119462
953,-10944.432950949367
954,-10914.55682604826
955,-10739.845394086235
956,-10746.42613973497
957,-10849.716339497627
958,-10836.411825059335
959,-10759.63147745253
960,-10715.147671083861
961,-10490.75
962,-10395.47009740902
963,-10642.237168710442
964,-10789.409105518196
965,-10762.324935719937
966,-10833.714435818829
967,-10877.938352946994
968,-10856.05157238924
969,-10639.32654272152
970,-10800.522621637658
971,-10839.332266119462
972,-10876.032646855221
973,-10884.380513251583
974,-10931.371785996835
975,-10928.128560126583
976,-10938.534229133702
977,-10883.036268789558
978,-10783.597730419304
979,-10602.01446301424
980,-10750.26678698576
981,-10647.670193829113
982,-10653.198786095727
983,-10749.694212321994
984,-10808.875494462025
985,-10803.610784216773
986,-10568.04121340981
987,-10719.814514932754
988,-10737.632738330696
989,-10529.10760729826
990,-10736.000902393196
991,-10831.959132713608
992,-10913.944286491298
993,-10913.41388943829
994,-10742.515278876583
995,-10775.51874011076
996,-10827.096593156646
997,-10878.223571004746
998,-10601.838187302215
999,-10500.93201147152
1000,-10642.572685917721
1001,-10174.503374703323
1002,-10222.261014141613
1003,-10232.323477056962
1004,-10249.37635977057
1005,-10247.295787183544
1006,-10252.636088310917
1007,-10179.977489616298
1008,-10194.533920094937
1009,-10203.274648931962
1010,-10195.618460739715
1011,-10175.79649179193
1012,-10253.388239220727
1013,-10190.83436758307
1014,-10243.662220628956
1015,-10247.390130537975
1016,-10240.639722606804
1017,-10213.994387856013
1018,-10110.93395223497
1019,-9937.802586036392
1020,-10074.8720703125
1021,-10197.296343453323
1022,-10269.776602056962
1023,-10295.067543512658
1024,-10243.951295490506
1025,-10286.819261768196
1026,-10286.580720925633
1027,-10288.904741890823
1028,-10266.107187005538
1029,-10279.408623417721
1030,-10108.482508405854
1031,-10088.82013943829
1032,-10072.587420886075
1033,-10066.0
1034,-10219.135828718354
1035,-10293.091401305379
1036,-10345.388758405854
1037,-10358.27697290348
1038,-10360.30409414557
1039,-10332.514215783227
1040,-10339.43712915348
1041,-10349.57848348497
1042,-10359.418525019779
1043,-10304.15784464003
1044,-10271.96073971519
1045,-10276.574478342563
1046,-10322.982817444621
1047,-10248.531769185127
1048,-10315.972878757912
1049,-10312.94920638845
1050,-10322.574070411392
1051,-10312.497478243671
1052,-10296.339262757121
1053,-10186.647769976265
1054,-10055.245871242088
1055,-10096.790793117088
1056,-10265.91309829905
1057,-10256.036108089398
1058,-10313.567889636075
1059,-10344.489158920094
1060,-10375.387991989715
1061,-10386.382503461235
1062,-10381.794266712817
1063,-10332.688031546677
1064,-10376.705226463608
1065,-10206.834528283227
1066,-10219.978651602058
1067,-10343.50587173655
1068,-10379.23401651503
1069,-10353.59551770174
1070,-10211.152665150317
1071,-10260.611859671677
1072,-10355.624060522152
1073,-10372.728256032437
1074,-10391.488404865506
1075,-10406.788147745254
1076,-10416.867533623417
1077,-10391.338570510285
1078,-10260.695201246044
1079,-10142.97205053402
1080,-10173.619622725475
1081,-10294.231321696994
1082,-10330.238800435127
1083,-10354.61658178402
1084,-10378.570844046677
1085,-10411.311980814873
1086,-10389.408363825158
1087,-10400.974695905854
1088,-10398.423704509494
1089,-10413.740086036392
1090,-10399.551547666139
1091,-10336.099547567246
1092,-10232.259493670887
1093,-10259.739752274525
1094,-10312.351030953323
1095,-10371.200714497627
1096,-10398.566344442246
1097,-10429.840709058544
1098,-10313.891848793513
1099,-10128.784389833861
1100,-10231.71739022943
1101,-10356.256316752373
1102,-10406.962495055379
1103,-10415.66620104826
1104,-10439.955782733387
1105,-10432.123726760285
1106,-10328.588570510285
1107,-10371.87658227848
1108,-10399.70471964003
1109,-10363.582253757912
1110,-10447.544155458861
1111,-10431.894296380538
1112,-10429.594887262658
1113,-10401.607100474683
1114,-10427.893888449367
1115,-10427.426683643196
1116,-10328.699873912183
1117,-10236.262275019779
1118,-10176.206339003165
1119,-10147.638375197785
1120,-10357.088805379746
1121,-10392.548197685917
1122,-10423.80211629747
1123,-10459.92695559731
1124,-10490.427573674842
1125,-10495.852205300633
1126,-10505.351525415348
1127,-10496.520396558544
1128,-10483.678500791139
1129,-10466.220023239715
1130,-10439.262448081487
1131,-10448.445757515823
1132,-10435.431170886075
1133,-10449.341858682754
1134,-10441.283413271361
1135,-10386.372589497627
1136,-10421.589967365506
1137,-10430.171207476265
1138,-10410.34649426424
1139,-10449.372626582279
1140,-10425.09588854826
